,rate,affair,offerdate,currency
2018-03-15,631.41,钢铁、铝加税,2018-03-08,美元
2018-03-14,632.05,钢铁、铝加税,2018-03-08,美元
2018-03-13,632.18,钢铁、铝加税,2018-03-08,美元
2018-03-12,633.33,钢铁、铝加税,2018-03-08,美元
2018-03-09,634.51,钢铁、铝加税,2018-03-08,美元
2018-03-08,632.39,钢铁、铝加税,2018-03-08,美元
2018-03-07,632.94,钢铁、铝加税,2018-03-08,美元
2018-03-06,633.86,钢铁、铝加税,2018-03-08,美元
2018-03-05,634.31,钢铁、铝加税,2018-03-08,美元
2018-03-02,633.34,钢铁、铝加税,2018-03-08,美元
2018-03-15,631.41,钢铁、铝加税,2018-03-08,美元
2018-03-14,632.05,钢铁、铝加税,2018-03-08,美元
2018-03-13,632.18,钢铁、铝加税,2018-03-08,美元
2018-03-12,633.33,钢铁、铝加税,2018-03-08,美元
2018-03-09,634.51,钢铁、铝加税,2018-03-08,美元
2018-03-08,632.39,钢铁、铝加税,2018-03-08,美元
2018-03-07,632.94,钢铁、铝加税,2018-03-08,美元
2018-03-06,633.86,钢铁、铝加税,2018-03-08,美元
2018-03-05,634.31,钢铁、铝加税,2018-03-08,美元
2018-03-02,633.34,钢铁、铝加税,2018-03-08,美元
2018-03-30,628.81,征税征求意见,2018-03-23,美元
2018-03-29,630.46,征税征求意见,2018-03-23,美元
2018-03-28,627.85,征税征求意见,2018-03-23,美元
2018-03-27,628.16,征税征求意见,2018-03-23,美元
2018-03-26,631.93,征税征求意见,2018-03-23,美元
2018-03-23,632.72,征税征求意见,2018-03-23,美元
2018-03-22,631.67,征税征求意见,2018-03-23,美元
2018-03-21,633.96,征税征求意见,2018-03-23,美元
2018-03-20,632.46,征税征求意见,2018-03-23,美元
2018-03-19,633.2,征税征求意见,2018-03-23,美元
2018-04-13,628.98,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-12,628.34,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-11,629.11,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-10,630.71,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-09,631.14,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-04,629.26,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-03,628.33,"中宣称加税,美宣称加税",2018-04-04,美元
2018-04-02,627.64,"中宣称加税,美宣称加税",2018-04-04,美元
2018-03-30,628.81,"中宣称加税,美宣称加税",2018-04-04,美元
2018-03-29,630.46,"中宣称加税,美宣称加税",2018-04-04,美元
2018-06-05,641.57,加税,2018-05-29,美元
2018-06-04,642.08,加税,2018-05-29,美元
2018-06-01,640.78,加税,2018-05-29,美元
2018-05-31,641.44,加税,2018-05-29,美元
2018-05-30,642.07,加税,2018-05-29,美元
2018-05-29,640.21,加税,2018-05-29,美元
2018-05-28,639.62,加税,2018-05-29,美元
2018-05-25,638.67,加税,2018-05-29,美元
2018-05-24,638.16,加税,2018-05-29,美元
2018-05-23,637.73,加税,2018-05-29,美元
2018-07-03,664.97,中下调亚洲国家进口关税,2018-06-26,美元
2018-07-02,661.57,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-29,661.66,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-28,659.6,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-27,655.69,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-26,651.8,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-25,648.93,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-22,648.04,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-21,647.06,中下调亚洲国家进口关税,2018-06-26,美元
2018-06-20,645.86,中下调亚洲国家进口关税,2018-06-26,美元
2018-07-13,667.27,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-12,667.26,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-11,662.34,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-10,662.59,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-09,663.93,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-06,663.36,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-05,661.8,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-04,665.95,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-03,664.97,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-02,661.57,"中对美加征关税,301特别关税豁免,美对中开始加征关税",2018-07-06,美元
2018-07-17,668.21,美拟对中国加征关税,2018-07-10,美元
2018-07-16,667.58,美拟对中国加征关税,2018-07-10,美元
2018-07-13,667.27,美拟对中国加征关税,2018-07-10,美元
2018-07-12,667.26,美拟对中国加征关税,2018-07-10,美元
2018-07-11,662.34,美拟对中国加征关税,2018-07-10,美元
2018-07-10,662.59,美拟对中国加征关税,2018-07-10,美元
2018-07-09,663.93,美拟对中国加征关税,2018-07-10,美元
