,PERMNO,DATE,SHRCD,HEXCD,RET,date
0,10000.0,1985-12-31,,3.0,,1985-12-31
1,10000.0,1986-01-31,10.0,3.0,,1986-01-31
2,10000.0,1986-02-28,10.0,3.0,-0.2571428716182709,1986-02-28
3,10000.0,1986-03-31,10.0,3.0,0.36538460850715637,1986-03-31
4,10000.0,1986-04-30,10.0,3.0,-0.09859155118465424,1986-04-30
5,10000.0,1986-05-30,10.0,3.0,-0.22265625,1986-05-30
6,10000.0,1986-06-30,10.0,3.0,-0.005025125574320555,1986-06-30
7,10000.0,1986-07-31,10.0,3.0,-0.08080808073282242,1986-07-31
8,10000.0,1986-08-29,10.0,3.0,-0.6153846383094788,1986-08-29
9,10000.0,1986-09-30,10.0,3.0,-0.05714285746216774,1986-09-30
10,10000.0,1986-10-31,10.0,3.0,-0.24242424964904785,1986-10-31
11,10000.0,1986-11-28,10.0,3.0,0.05999999865889549,1986-11-28
12,10000.0,1986-12-31,10.0,3.0,-0.37735849618911743,1986-12-31
13,10000.0,1987-01-30,10.0,3.0,-0.21212121844291687,1987-01-30
14,10000.0,1987-02-27,10.0,3.0,0.0,1987-02-27
15,10000.0,1987-03-31,10.0,3.0,-0.38461539149284363,1987-03-31
16,10000.0,1987-04-30,10.0,3.0,-0.0625,1987-04-30
17,10000.0,1987-05-29,10.0,3.0,-0.06666667014360428,1987-05-29
18,10000.0,1987-06-30,10.0,3.0,,1987-06-30
19,10001.0,1985-12-31,,2.0,,1985-12-31
20,10001.0,1986-01-31,11.0,2.0,,1986-01-31
21,10001.0,1986-02-28,11.0,2.0,0.020408162847161293,1986-02-28
22,10001.0,1986-03-31,11.0,2.0,0.025200003758072853,1986-03-31
23,10001.0,1986-04-30,11.0,2.0,0.009900989942252636,1986-04-30
24,10001.0,1986-05-30,11.0,2.0,-0.009803921915590763,1986-05-30
25,10001.0,1986-06-30,11.0,2.0,-0.013069307431578636,1986-06-30
26,10001.0,1986-07-31,11.0,2.0,-0.010204081423580647,1986-07-31
27,10001.0,1986-08-29,11.0,2.0,0.07216494530439377,1986-08-29
28,10001.0,1986-09-30,11.0,2.0,-0.003076923545449972,1986-09-30
29,10001.0,1986-10-31,11.0,2.0,0.03921568766236305,1986-10-31
30,10001.0,1986-11-28,11.0,2.0,0.056603774428367615,1986-11-28
31,10001.0,1986-12-31,11.0,2.0,0.014999999664723873,1986-12-31
32,10001.0,1987-01-30,11.0,2.0,-0.0357142873108387,1987-01-30
33,10001.0,1987-02-27,11.0,2.0,-0.07407407462596893,1987-02-27
34,10001.0,1987-03-31,11.0,2.0,0.03680000081658363,1987-03-31
35,10001.0,1987-04-30,11.0,2.0,-0.03921568766236305,1987-04-30
36,10001.0,1987-05-29,11.0,2.0,-0.0714285746216774,1987-05-29
37,10001.0,1987-06-30,11.0,2.0,0.051428571343421936,1987-06-30
38,10001.0,1987-07-31,11.0,2.0,0.021276595070958138,1987-07-31
39,10001.0,1987-08-31,11.0,2.0,0.0833333358168602,1987-08-31
40,10001.0,1987-09-30,11.0,2.0,-0.02230769209563732,1987-09-30
41,10001.0,1987-10-30,11.0,2.0,0.019999999552965164,1987-10-30
42,10001.0,1987-11-30,11.0,2.0,-0.029411764815449715,1987-11-30
43,10001.0,1987-12-31,11.0,2.0,-0.03353535383939743,1987-12-31
44,10001.0,1988-01-29,11.0,2.0,0.06382978707551956,1988-01-29
45,10001.0,1988-02-29,11.0,2.0,0.07999999821186066,1988-02-29
46,10001.0,1988-03-31,11.0,2.0,-0.07629629969596863,1988-03-31
47,10001.0,1988-04-29,11.0,2.0,0.030612245202064514,1988-04-29
48,10001.0,1988-05-31,11.0,2.0,0.019801979884505272,1988-05-31
49,10001.0,1988-06-30,11.0,2.0,-0.01203883532434702,1988-06-30
50,10001.0,1988-07-29,11.0,2.0,0.029999999329447746,1988-07-29
51,10001.0,1988-08-31,11.0,2.0,0.029126213863492012,1988-08-31
52,10001.0,1988-09-30,11.0,2.0,-0.021132076159119606,1988-09-30
53,10001.0,1988-10-31,11.0,2.0,0.03921568766236305,1988-10-31
54,10001.0,1988-11-30,11.0,2.0,0.0,1988-11-30
55,10001.0,1988-12-30,11.0,2.0,-0.021132076159119606,1988-12-30
56,10001.0,1989-01-31,11.0,2.0,0.019607843831181526,1989-01-31
57,10001.0,1989-02-28,11.0,2.0,0.03846153989434242,1989-02-28
58,10001.0,1989-03-31,11.0,2.0,0.017777778208255768,1989-03-31
59,10001.0,1989-04-28,11.0,2.0,0.07407407462596893,1989-04-28
60,10001.0,1989-05-31,11.0,2.0,-0.03448275849223137,1989-05-31
61,10001.0,1989-06-30,11.0,2.0,0.017142856493592262,1989-06-30
62,10001.0,1989-07-31,11.0,2.0,0.0357142873108387,1989-07-31
63,10001.0,1989-08-31,11.0,2.0,0.27586206793785095,1989-08-31
64,10001.0,1989-09-29,11.0,2.0,-0.027027027681469917,1989-09-29
65,10001.0,1989-10-31,11.0,2.0,0.07042253762483597,1989-10-31
66,10001.0,1989-11-30,11.0,2.0,0.03947368264198303,1989-11-30
67,10001.0,1989-12-29,11.0,2.0,0.037974681705236435,1989-12-29
68,10001.0,1990-01-31,11.0,2.0,-0.018518518656492233,1990-01-31
69,10001.0,1990-02-28,11.0,2.0,-0.006289307959377766,1990-02-28
70,10001.0,1990-03-30,11.0,2.0,0.012658228166401386,1990-03-30
71,10001.0,1990-04-30,11.0,2.0,0.0,1990-04-30
72,10001.0,1990-05-31,11.0,2.0,-0.012658228166401386,1990-05-31
73,10001.0,1990-06-29,11.0,2.0,0.014102564193308353,1990-06-29
74,10001.0,1990-07-31,11.0,2.0,0.025641025975346565,1990-07-31
75,10001.0,1990-08-31,11.0,2.0,-0.05000000074505806,1990-08-31
76,10001.0,1990-09-28,11.0,2.0,0.04078947380185127,1990-09-28
