					郑州商品交易所期货历史行情下载(2021)
交易日期  |合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1     |涨跌2     |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
2021-01-04|AP101   |6,012.00  |5,850.00  |5,950.00  |5,651.00  |5,651.00  |5,762.00  |-361.00   |-250.00   |597       |212       |-556      |3,440.06    |6,044.00  
2021-01-04|AP103   |6,130.00  |6,112.00  |6,135.00  |5,880.00  |5,897.00  |5,976.00  |-233.00   |-154.00   |24,959    |32,994    |1,733     |149,160.71  |          
2021-01-04|AP105   |6,627.00  |6,630.00  |6,680.00  |6,437.00  |6,461.00  |6,527.00  |-166.00   |-100.00   |403,418   |293,296   |42,231    |2,632,913.48|          
2021-01-04|AP110   |7,071.00  |7,076.00  |7,099.00  |7,000.00  |7,009.00  |7,036.00  |-62.00    |-35.00    |16,137    |42,013    |1,676     |113,542.11  |          
2021-01-04|AP111   |6,895.00  |6,915.00  |6,915.00  |6,850.00  |6,870.00  |6,875.00  |-25.00    |-20.00    |794       |3,476     |197       |5,458.91    |          
2021-01-04|AP112   |6,890.00  |6,910.00  |6,920.00  |6,850.00  |6,858.00  |6,874.00  |-32.00    |-16.00    |572       |2,609     |114       |3,931.81    |          
2021-01-04|CF101   |15,080.00 |14,920.00 |15,300.00 |14,920.00 |15,300.00 |15,190.00 |220.00    |110.00    |16,141    |60,483    |-7,222    |122,602.63  |14,885.00 
2021-01-04|CF103   |15,035.00 |15,030.00 |15,330.00 |15,030.00 |15,325.00 |15,220.00 |290.00    |185.00    |30,887    |17,589    |1,537     |235,018.33  |          
2021-01-04|CF105   |15,085.00 |15,080.00 |15,380.00 |15,075.00 |15,375.00 |15,260.00 |290.00    |175.00    |387,284   |570,538   |73,978    |2,954,915.26|          
2021-01-04|CF107   |15,125.00 |15,135.00 |15,380.00 |15,135.00 |15,380.00 |15,290.00 |255.00    |165.00    |155       |5,505     |-45       |1,185.01    |          
2021-01-04|CF109   |15,225.00 |15,255.00 |15,520.00 |15,250.00 |15,520.00 |15,405.00 |295.00    |180.00    |13,042    |51,271    |1,606     |100,454.61  |          
2021-01-04|CF111   |15,415.00 |15,500.00 |15,705.00 |15,500.00 |15,705.00 |15,625.00 |290.00    |210.00    |13        |165       |5         |101.57      |          
2021-01-04|CJ101   |9,905.00  |9,610.00  |9,945.00  |9,610.00  |9,655.00  |9,755.00  |-250.00   |-150.00   |10        |101       |-10       |48.78       |9,755.00  
2021-01-04|CJ103   |10,040.00 |10,010.00 |10,010.00 |9,910.00  |9,990.00  |9,970.00  |-50.00    |-70.00    |48        |994       |4         |239.28      |          
2021-01-04|CJ105   |10,205.00 |10,190.00 |10,195.00 |10,050.00 |10,150.00 |10,125.00 |-55.00    |-80.00    |18,990    |21,856    |-851      |96,131.79   |          
2021-01-04|CJ107   |10,205.00 |10,130.00 |10,170.00 |10,095.00 |10,140.00 |10,120.00 |-65.00    |-85.00    |23        |687       |5         |116.36      |          
2021-01-04|CJ109   |10,215.00 |10,200.00 |10,225.00 |10,115.00 |10,205.00 |10,195.00 |-10.00    |-20.00    |726       |2,474     |134       |3,701.26    |          
2021-01-04|CJ112   |10,290.00 |10,260.00 |10,310.00 |10,220.00 |10,310.00 |10,265.00 |20.00     |-25.00    |11        |59        |6         |56.47       |          
2021-01-04|CY101   |20,795.00 |20,850.00 |21,415.00 |20,830.00 |21,415.00 |21,170.00 |620.00    |375.00    |57        |1,333     |-3        |603.41      |20,600.00 
2021-01-04|CY102   |20,280.00 |0.00      |0.00      |0.00      |0.00      |20,645.00 |365.00    |365.00    |0         |0         |0         |0.00        |          
2021-01-04|CY103   |20,460.00 |0.00      |0.00      |0.00      |0.00      |20,830.00 |370.00    |370.00    |0         |0         |0         |0.00        |          
2021-01-04|CY104   |22,205.00 |0.00      |0.00      |0.00      |0.00      |22,605.00 |400.00    |400.00    |0         |0         |0         |0.00        |          
2021-01-04|CY105   |21,865.00 |21,835.00 |22,330.00 |21,730.00 |22,310.00 |22,140.00 |445.00    |275.00    |12,441    |8,101     |1,266     |137,725.65  |          
2021-01-04|CY106   |21,400.00 |0.00      |0.00      |0.00      |0.00      |21,670.00 |270.00    |270.00    |0         |0         |0         |0.00        |          
2021-01-04|CY107   |22,410.00 |0.00      |0.00      |0.00      |0.00      |22,690.00 |280.00    |280.00    |0         |0         |0         |0.00        |          
2021-01-04|CY108   |22,510.00 |0.00      |0.00      |0.00      |0.00      |22,795.00 |285.00    |285.00    |0         |0         |0         |0.00        |          
2021-01-04|CY109   |22,315.00 |22,520.00 |22,690.00 |22,515.00 |22,685.00 |22,600.00 |370.00    |285.00    |18        |140       |9         |203.39      |          
2021-01-04|CY110   |22,065.00 |0.00      |0.00      |0.00      |0.00      |22,345.00 |280.00    |280.00    |0         |0         |0         |0.00        |          
2021-01-04|CY111   |22,065.00 |0.00      |0.00      |0.00      |0.00      |22,345.00 |280.00    |280.00    |0         |0         |0         |0.00        |          
2021-01-04|CY112   |22,065.00 |0.00      |0.00      |0.00      |0.00      |22,345.00 |280.00    |280.00    |0         |0         |0         |0.00        |          
2021-01-04|FG101   |1,994.00  |1,998.00  |1,998.00  |1,935.00  |1,978.00  |1,980.00  |-16.00    |-14.00    |539       |1,314     |-471      |2,134.68    |2,019.00  
2021-01-04|FG102   |1,921.00  |1,909.00  |1,948.00  |1,903.00  |1,947.00  |1,915.00  |26.00     |-6.00     |37        |333       |-9        |141.73      |          
